time,open,high,low,close,Plot,Up Trend,Down Trend,VWAP,Upper Band,Lower Band,Basis,Upper,Lower,EMA,Smoothing Line,Lead 1,Lead 2,Tenkan,Kijun,Lagging Span,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Histogram,MACD,Signal,CCI,Smoothing Line,ADX,+DI,-DI,CHOP
2021-05-05T08:00:00Z,54985.268228,55894.5978368,54813.500222,55206.1843172,55095.726272600004,NaN,58319.11529409127,54948.45744820317,55287.2926717715,54609.62222463483,56360.72489195004,59335.1675880991,53386.28219580098,55685.91430497377,55754.175389163545,NaN,NaN,55361.5891347,56057.959147500005,NaN,258262.742141,152817.17450345153,46.46921231248791,48.874573027145814,NaN,NaN,-313.285776498888,-413.89350019216363,-100.60772369327557,-59.04018679664622,-139.32398547045048,26.52937235812452,13.789728948255101,21.71653241907636,47.72763177286128
2021-05-05T12:00:00Z,55207.1450532,57828.9863019,55150.029234,57743.5042266,56475.324639900005,NaN,58319.11529409127,55685.054276967545,56671.00348198625,54699.10507194884,56412.01705328004,59444.131970304275,53379.902136255805,55766.604105821854,55733.09987920106,NaN,NaN,55437.48529845,56057.959147500005,NaN,355631.53252,170561.78322065153,57.795325925360245,48.286069939305776,NaN,NaN,-80.33178145416935,-201.02245051098726,-120.69066905681791,29.975717836159617,-91.22304124936704,25.049828619039527,21.27300449114135,18.93462523989885,50.257095919584195
2021-05-05T16:00:00Z,57745.4365164,57998.4184814,57064.767001,57160.6586898,57453.0476031,NaN,58319.11529409127,55936.26253324526,57031.73411236387,54840.79095412665,56409.21489282003,59438.45221951321,53379.97756612686,55821.272913036686,55742.84320077513,NaN,NaN,55522.2013882,56057.959147500005,NaN,161448.731457,178593.51286920154,54.92073184493237,47.55688753778616,NaN,NaN,33.7948675636525,-78.44708460225229,-112.24195216590479,55.17803127642298,-40.10823983520137,23.818851149613142,21.129615752865377,18.066027793133916,51.953821755221696
2021-05-05T20:00:00Z,57160.146465,57549.344292,56582.886186,57394.416,57277.2812325,NaN,58319.11529409127,55999.4270186728,57100.87244616639,54897.98159117922,56442.024417370034,59498.89333327609,53385.155501463974,55882.964798799956,55772.45024868669,NaN,NaN,55522.2013882,56057.959147500005,NaN,59467.528744,181533.08689215156,55.86877092911109,47.50065179754208,NaN,NaN,119.49679125641845,37.12903690461826,-82.36775435180019,41.397605709395556,-5.55277581088145,22.205421198331248,20.101654905408463,19.612836305796527,55.04585943416451
2021-05-06T00:00:00Z,57385.8665629,57506.081238,56476.429977,56762.9682509,57074.4174069,NaN,58319.11529409127,56915.15982196666,56915.15982196666,56915.15982196666,56432.85910996504,59484.72066279678,53380.99755713329,55917.474738098,55814.84617214603,NaN,NaN,55522.2013882,56057.959147500005,NaN,193982.848434,191196.86175685155,52.647802028926705,47.225702492614474,NaN,NaN,127.40228837145371,76.88510611251695,-50.51718225893676,27.042033411681366,18.910640287402668,20.634971670537222,19.03893357149381,19.122556007572193,57.417420766900925
2021-05-06T04:00:00Z,56762.9682509,57486.7628045,56421.6725,56936.5320252,56849.75013805,NaN,58319.11529409127,56931.977095589085,56948.556727214585,56915.397463963585,56445.452916405025,59503.439423666285,53387.466409143766,55957.437768964744,55869.15086494423,NaN,NaN,55522.2013882,56057.959147500005,NaN,199583.558036,199295.91700115154,53.44234045189102,47.228038300293356,NaN,NaN,137.2156524364694,121.00238328665,-16.213269149819403,28.021360788381653,36.32294980440825,19.232800269391838,17.980024142209736,18.3449345257979,57.371955205054334
2021-05-06T08:00:00Z,56936.5440496,58432.8359,56876.516424,58060.4885438,57498.5162967,NaN,58319.11529409127,57286.753557430384,57709.46195717918,56864.04515768159,56452.58316428503,59524.900810123494,53380.26551844657,56039.910348370046,55923.81211345388,NaN,NaN,55739.410097500004,56057.959147500005,NaN,277483.960645,206810.97478985155,58.319659117300425,48.33264018399312,NaN,NaN,208.0495002068174,243.84860610870237,35.79910590188495,71.93909590785225,44.71562541874679,18.70896646184733,21.425202009105266,16.868576665401157,52.62618559758343
2021-05-06T12:00:00Z,58060.006758,58154.27936,56933.19049,57248.473945,57654.240351500004,NaN,58319.11529409127,57341.532520956236,57691.728277165545,56991.33676474693,56372.20254411003,59267.82241836734,53476.582669852716,56087.30499921828,55977.01853069019,NaN,NaN,55739.410097500004,56057.959147500005,NaN,354198.379077,215081.21816500154,53.924495076294484,48.89622503273386,NaN,NaN,189.3932368269518,272.5406519355747,83.14741510862291,58.75900184977928,45.43181953341805,18.222549354841714,20.06105125945223,15.794547982081982,52.60832177995676
2021-05-06T16:00:00Z,57232.8514779,57565.8105027,55457.448295,56284.6158666,56758.733672250004,NaN,58319.11529409127,57212.156156846446,57665.51913248618,56758.79318120671,56248.890025140034,58931.00050584915,53566.779544430916,56095.04268029207,56019.43410698862,NaN,NaN,56250.366748,56057.959147500005,NaN,170888.054501,212494.36886535157,49.18604854957929,49.01608328602167,NaN,NaN,105.50233601300224,215.0253351248757,109.52299911187347,10.343950417671392,39.221088475073216,17.571474644204706,17.937415882025334,21.53210372449043,54.40114107853633
2021-05-06T20:00:00Z,56278.037025,56876.731221,55816.89035,56476.9092888,56377.4731569,NaN,58319.11529409127,57171.48688515973,57648.08298133309,56694.89078898636,56188.497068890036,58791.79816587928,53585.195971900794,56110.01784141003,56057.942727651025,NaN,NaN,56623.168061000004,56057.959147500005,NaN,62262.119725,199939.30947505156,50.127604528936885,49.99786303815556,NaN,NaN,58.6637545269991,182.85269227062236,124.18893774362326,13.304192438298504,36.47352028039664,16.966905270041764,16.96519436751817,20.36504740872942,51.07638197473416
2021-05-07T00:00:00Z,56469.858848,57177.4630581,55596.6,55834.8946985,56152.37677325,NaN,58319.11529409127,56202.98591886667,56202.98591886667,56202.98591886667,56097.07397553504,58613.7600294272,53580.387921642876,56099.22869855081,56086.30091356824,NaN,NaN,56791.432566999996,56057.959147500005,NaN,175842.393013,200725.39750405157,46.9965251486297,50.38944269734815,NaN,NaN,-15.87309001350043,104.34757522674772,120.22066524024815,6.670076437876668,32.20326341029564,16.07443322152185,17.13002931473917,18.733973908189324,51.04525298047071
2021-05-07T04:00:00Z,55831.1819202,56437.3209468,55411.8984,55895.4485361,55863.31522814999,NaN,58319.11529409127,56046.565005721306,56190.0809805118,55903.049030930815,56029.15843104004,58490.0129424686,53568.303919611484,56091.237319631175,56096.566307820474,NaN,NaN,56922.36715,56057.959147500005,NaN,208887.633018,208042.11179845157,47.33068651781433,51.19251495059952,NaN,NaN,-58.99087095136261,46.482076551044884,105.4729475024075,-9.13350943752387,15.98874234122042,15.432199717141307,16.222423763994033,18.695734215389756,49.70241185503989
