time,open,high,low,close,Plot,Up Trend,Down Trend,VWAP,Upper Band,Lower Band,Basis,Upper,Lower,EMA,Smoothing Line,Lead 1,Lead 2,Tenkan,Kijun,Lagging Span,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Histogram,MACD,Signal,CCI,Smoothing Line,ADX,+DI,-DI,CHOP
2022-04-15T10:49:00Z,40425.95,40425.95,40350.63,40364.25,40395.1,40283.996753053514,NaN,40165.90990895133,40293.17873376535,40038.641084137314,40280.97450000023,40378.085418347575,40183.863581652884,40245.720426444306,40234.534028985945,NaN,NaN,40344.265,40289.91,NaN,2.12666,1.1371470000000217,63.12607889894685,61.215432485746376,NaN,NaN,11.557591922435503,37.78076895902632,26.223177036590815,225.51621851583673,226.1902158397257,28.55276855412299,39.209598798208035,9.468253813671756,34.806937398491314
2022-04-15T10:50:00Z,40359.28,40359.28,40321.82,40321.82,40340.55,40283.996753053514,NaN,40166.458464660274,40293.8816362784,40039.03529304215,40283.55700000024,40382.11752335282,40184.99647664766,40248.70472344649,40239.20892981002,NaN,NaN,40344.66,40289.91,NaN,1.52616,1.1608435000000217,56.0877807791649,60.99585433702344,NaN,NaN,7.4314510898255755,35.512490898872784,28.08103980904721,103.28570140336193,227.08244690264155,29.650187048722522,36.118285564272796,14.075060676646387,36.478046328990565
2022-04-15T10:51:00Z,40327.48,40332.63,40320.34,40322.49,40324.985,40283.996753053514,NaN,40166.60380451945,40294.05904359246,40039.14856544644,40287.25000000023,40385.83397639441,40188.666023606056,40251.59826370349,40243.94520707237,NaN,NaN,40344.66,40291.395000000004,NaN,0.42947,1.1087700000000216,56.17088211953187,61.23243742509656,NaN,NaN,4.24244536157337,33.38409651101392,29.141651149440552,73.27150016437396,212.12447297450353,30.6089201050234,35.251343992891584,14.026268899134628,36.80043762264978
2022-04-15T10:52:00Z,40315.26,40354.64,40315.26,40345.93,40330.595,40283.996753053514,NaN,40166.99674141482,40294.57088017097,40039.42260265867,40292.13750000024,40392.17062088856,40192.104379111915,40255.29754747982,40248.44068914796,NaN,NaN,40344.66,40291.395000000004,NaN,1.0737,1.1086800000000214,59.087917629240614,61.11017413960438,NaN,NaN,3.251449525261908,33.205963056017936,29.954513530756028,84.90327043137583,173.4545936383622,31.84836522370822,36.830122783042604,12.953380985753746,39.84662572517866
2022-04-15T10:53:00Z,40345.61,40345.63,40315.84,40315.86,40330.735,40283.996753053514,NaN,40167.07591841936,40294.66749563973,40039.484341198986,40295.434000000234,40394.021090515744,40196.846909484724,40257.67254561787,40251.79870133822,NaN,NaN,40345.275,40299.55,NaN,0.23449,1.0868830000000216,54.11242080603172,61.015301748284436,NaN,NaN,0.2677794439195864,30.289237835655513,30.021458391735926,54.75131148479742,108.34560039994922,32.99927854820127,34.64921760308662,12.186343203767839,40.28942704812026
2022-04-15T10:54:00Z,40314.9,40314.93,40310.48,40313.71,40314.305,40283.996753053514,NaN,40167.18534630665,40294.79164111279,40039.579051500514,40299.027000000235,40394.736608946325,40203.317391054145,40259.87009284854,40254.62863461907,NaN,NaN,40345.275,40306.94500000001,NaN,0.3528,1.0816695000000214,53.763828601017806,60.674718111654705,NaN,NaN,-2.0272724834874865,27.48736778737657,29.514640270864057,27.820954717993253,68.80654764038051,33.81772049703339,34.25860338897898,13.172110131713834,39.33664251191045
2022-04-15T10:55:00Z,40316.68,40325.92,40302.28,40323.85,40320.265,40283.996753053514,NaN,40167.66229805473,40295.34566106523,40039.97893504424,40303.004000000234,40395.85608331841,40210.15191668206,40262.379108815265,40257.36351169282,NaN,NaN,40355.61,40313.44,NaN,1.49946,1.1235510000000215,55.228716631145474,60.41018272183341,NaN,NaN,-2.981461825932506,25.787812988448422,28.76927481438093,30.185859902424575,54.18657934019306,34.774834900618,34.878007249011375,12.505013635084332,40.77535087237924
2022-04-15T10:56:00Z,40319.48,40319.49,40319.01,40319.32,40319.4,40283.996753053514,NaN,40167.67846282582,40295.364614993545,40039.99231065809,40306.082000000235,40396.78730030707,40215.3766996934,40264.612084940156,40259.966275940154,NaN,NaN,40364.555,40328.655,NaN,0.05034,1.1140160000000212,54.39951053211995,60.17939598138077,NaN,NaN,-3.974614068515841,23.801007228736125,27.775621297251966,28.9271122761283,45.31770176254393,35.663583989660864,34.49284396294195,12.36691881476834,38.867141019765
2022-04-15T10:57:00Z,40325.65,40325.66,40316.94,40325.5,40325.575,40283.996753053514,NaN,40167.814743247836,40295.527422923384,40040.10206357229,40310.66750000023,40395.364190360066,40225.97080964039,40266.999846315055,40262.3067357072,NaN,NaN,40370.345,40328.655,NaN,0.41543,1.0762205000000213,55.3836719103123,59.93442967503197,NaN,NaN,-4.2475786914752405,22.466147932907916,26.713726624383156,29.61434767196343,34.25991721066145,36.60700615848177,35.25355216350537,12.107498810936754,37.79307807458575
2022-04-15T10:58:00Z,40324.76,40324.76,40300.84,40300.84,40312.8,40283.996753053514,NaN,40167.92517375054,40295.6487520253,40040.20159547578,40311.904000000235,40395.25797661194,40228.55002338853,40268.326911165444,40264.43760881672,NaN,NaN,40363.395,40328.655,NaN,0.3704,0.9826035000000213,50.68311422887461,59.43624370217882,NaN,NaN,-6.013290071320512,19.197114035232516,25.210404106553028,-3.540689122829603,22.601517089136046,36.62235957031207,33.13659943539711,15.300948026873028,38.007066539118476
